wiki_name,parkCode,title,category,description,lastIndexedDate,url
Acadia,acad,Portion of Ocean Path closed until further notice,Park Closure,Approximately 400 feet of Ocean Path is closed between Otter Cliff and Otter Point for repairs. Pedestrians should follow detour signs to walk along a portion of Park Loop Road currently closed to vehicles.,2025-03-28 14:55:34.0,
Acadia,acad,"Historic carriage roads closed until further notice for ""mud season""",Park Closure,"Spring thaw has led to temporary closures to protect Acadia's historic carriage roads during ""mud season."" Walking, bicycling or riding horses in these wet and soft conditions can cause costly ruts and potholes that channel water and exacerbate erosion.",2025-03-18 08:03:48.0,https://www.nps.gov/acad/planyourvisit/conditions.htm
Acadia,acad,Several trails closed for Peregrine falcon nesting season,Park Closure,"Until further notice, typically mid-August, Penobscot East Trail, Jordan Cliffs Trail, Precipice Trail, and Valley Cove Trail are closed for Peregrine falcon nesting season. Also, as roads reopen, the Precipice Trail parking lot will remain closed.",2025-03-18 07:55:29.0,https://www.nps.gov/acad/planyourvisit/conditions.htm
American Samoa,npsa,Trail and Parking Area Re-Opened - Mt. Alava Trail,Caution,Mt. Alava trail and parking area are now open to the public. Access to the summit from the Alava Trailhead is strictly prohibited due to serious risks. Death or serious injury can occur. Mt. Alava summit remains accessible from the Old Vatia trail.,2024-04-12 22:49:26.0,
American Samoa,npsa,General Mosquito Information,Caution,"Although there is no known current transmission of dengue, Zika, or chikungunya, American Samoa has had recent outbreaks, and reintroduction is possible. Avoid mosquito bites and report to your doctor if you get sick within two weeks of returning.",2016-03-30 20:34:26.0,
Arches,arch,Temporary closure of Fiery Furnace,Park Closure,Fiery Furnace is temporarily closed. No ranger-led tours nor self-guided permits will be issued until further notice. We look forward to offering these services soon.,2025-03-25 19:14:55.0,
Arches,arch,Reduced picnic facilities throughout the park,Information,Some trash cans and picnic tables have been removed to reduce maintenance workloads. We apologize for any inconvenience this causes.,2025-03-24 13:50:22.0,
Arches,arch,Timed Entry Reservation Pilot 2025,Information,"To enter the park April 1–July 6 and August 28–October 31, 2025, most visitors will need a Timed Entry Ticket. Tickets may be purchased from Recreation.gov up to six months ahead. Starting March 31, extra tickets will release at 7pm for next-day visits.",2025-01-03 12:40:56.0,https://www.nps.gov/arch/planyourvisit/timed-entry-pilot.htm
Badlands,badl,Navigation,Caution,"Do not rely on GPS digital navigation systems to find your way to Badlands National Park. Please note that the Visitor Center at 25216 Ben Reifel Road, Interior SD 57750 is located just off I-90.",2020-12-16 09:25:24.0,https://www.nps.gov/badl/planyourvisit/directions.htm
Big Bend,bibe,Big Bend Spring = Full Campgrounds,Information,"March is the busiest time of the year in Big Bend. Please plan ahead and do NOT travel all the way to Big Bend without camping/lodging arrangements. Be prepared for full parking and busy facilities. Select ""more"" below for further details.",2025-03-05 09:32:17.0,https://www.nps.gov/bibe/advice-for-busy-times.htm
