wiki_name,parkCode,campground_name,description,lat,lon,numberOfSitesReservable,reservationInfo,amenities,operatingHours
Acadia,acad,Blackwoods Campground,"Blackwoods Campground is located on the east side of Mount Desert Island, about 5 miles (8 km) south of Bar Harbor on Route 3. All sites at Blackwoods are wooded and within a 10-minute walk of the ocean. The majority of Blackwoods' sites are for small and large tents; other sites can accommodate travelers with RVs. Flush toilets, running water, and a dump station are provided, as are picnic tables and fire rings. Roads are paved.",44.30894404258141,-68.20988547018771,281,Ninety percent of campsites are released six months in advance on the first of each month at 10 am EST. The remaining 10 percent are released at 10 am 14 days ahead of a desired arrival date on a rolling basis. All campsite reservations must be made in advance at Recreation.gov. Reservations cannot be made through the campground office or in-person.,,"Blackwoods Campground facility is open seasonally, usually from early May to mid-October."
Acadia,acad,Duck Harbor Campground,"Duck Harbor Campground is located on Isle au Haut, a rugged island off the coast of Stonington, Maine. This campground has five sites with lean-to shelters and is a great launch point for paddling excursions. Remote and inaccessible to automobiles, Isle au Haut is linked to the mainland by mailboat.",44.0277948999,-68.6535293994,5,Reservations are required to camp at Duck Harbor Campground. Reservations are available 7 months in advance of the reservation date. All reservations are released at 10 am April 1 for the entire season.,,
Acadia,acad,Schoodic Woods Campground,Schoodic Woods Campground is the newest campground in the park and located 1.5 miles (2.5 km) southeast of Winter Harbor on the Schoodic Peninsula. It is approximately 60-70 minutes from Bar Harbor and other areas of Mount Desert Island.,44.3800630004,-68.0665938,89,Ninety percent of campsites are released six months in advance on the first of each month at 10 am EST. The remaining 10 percent are released at 10 am 14 days ahead of a desired arrival date on a rolling basis. All campsite reservations must be made in advance at Recreation.gov. Reservations cannot be made through the campground office or in-person.,,Schoodic Woods Campground facility is open seasonally from the Wednesday before Memorial Day Weekend until Columbus Day.
Acadia,acad,Seawall Campground,Seawall Campground is located on the west side of Mount Desert Island about 4 miles (6 km) south of Southwest Harbor. The campground is approximately 18 miles from Bar Harbor. All sites at Seawall are within a short walking distance of the coastline.,44.2415646994,-68.3051438999,202,Ninety percent of campsites are released six months in advance on the first of each month at 10 am EST. The remaining 10 percent are released at 10 am 14 days ahead of a desired arrival date on a rolling basis. All campsite reservations must be made in advance at Recreation.gov. Reservations cannot be made through the campground office or in-person.,,"Seawall Campground is open seasonally, typically from the Wednesday before Memorial Day to Columbus Day.

The ranger station is generally open from 9 am to 8 pm during peak season, but hours are subject to change depending on staffing levels."
Arches,arch,Devils Garden Campground,"Camp among slickrock outcroppings at Devils Garden Campground, 18 miles from the park entrance. Facilities include drinking water, picnic tables, grills, and both pit-style and flush toilets. You can reserve standard campsites up to 6 months in advance for stays March 1-October 31. All sites are usually reserved months in advance. Between November 1 and February 28, sites are first-come, first-served. Winter campers are encouraged to download the Recreation.gov app **before arriving** to use for payment.",38.77733291716262,-109.58879904198358,51,"You can reserve campsites for nights between March 1 and October 31. Between November 1 and February 28, all sites are first-come, first served. Reservations for both group and individual sites can be made below or by calling Recreation.gov at 1-877-444-6777. The earliest you can make reservations for standard sites is 10 am eastern time, six months in advance. The latest you can make reservations is four days in advance. You can reserve group sites up to 12 months in advance. The campground has two sites for groups of 11 or more people. Juniper Basin campsite accommodates up to 55 people and is available March 1 to October 31; Canyon Wren campsite accommodates up to 35 and may be reserved year-round. No RVs or trailers are permitted in the group sites.",,"Devils Garden Campground typically open year-round.  Firewood is only available for purchase at the visitor center bookstore, not at the campground."
Badlands,badl,Cedar Pass Campground,"Located near the Ben Reifel Visitor Center, the Cedar Pass Campground has 96 level sites with scenic views of the badlands formations. This campground offers flush toilets and coin operated showers in the summertime.",43.744154,-101.950161,96,"This campgrounds is managed by Aramark, Badlands park concessionaire.",,"Cold running water, flush toilets, and covered picnic tables are available.

A limited section of the campground is open during the winter months.

Four campsites are available in the Cedar Pass Campground for organized groups with a designated leader."
Badlands,badl,Sage Creek Campground,Sage Creek Campground is a primitive campground. There is no charge to stay here and camping is available on a first come first serve basis. The campground rarely fills to capacity.,43.893146,-102.414254,22,"We do not take reservations for this campground. Camping is on a first come, first serve, basis.",,"Bison often wander through this primitive campground, located on the west side of the park's North Unit. Access is located off of the Sage Creek Rim Road, an unpaved road that may temporarily close after winter storms and spring rains. The road provides limited turnarounds for large recreational vehicles. Camping is free of charge. Pit toilets and covered picnic tables are available, but no water is available on-site. A portion of the Sage Creek Campground is designated for horse use."
Big Bend,bibe,Chisos Basin Campground,"The Chisos Basin Campground is nestled in an open woodland within a scenic mountain basin. Campers enjoy the iconic views of Casa Grande and Emory Peak. The sunset through the nearby ""Window"" is a Big Bend highlight. Some of the park's most popular trails begin nearby. Elevation is 5,400 feet. RESERVATIONS REQUIRED. Trailers over 20 feet and RV's over 24 feet are not recommended due to the narrow, winding road to the Basin and small campsites.",29.2759007921,-103.302285693,56,"Reservations are required. No first-come, first-serve camping. The Chisos Basin Campground is open year-round. -- 2/3 of campsites are reservable up to 6 months in advance. -- 1/3 of campsites are reservable up to 14 days in advance. Reservations for Chisos Basin Campground are made at: https://www.recreation.gov/camping/campgrounds/234038",,Open year round.
Big Bend,bibe,Cottonwood Campground,"Cottonwood Campground is a quiet oasis in the western corner of Big Bend National Park. Reservations are required. Conveniently located between the Castolon Historic District, the scenic Santa Elena Canyon and the tail end of the Ross Maxwell Scenic Drive, this small, 22-site campground is one of the least-known and quiet campgrounds in the park. There is one group campsite and 21 individual sites. This is a remote campground in a remote park. It is dry camping, no hook-ups, and no generators are permitted.",29.1367804035,-103.522513962,22,"Campground is open year round. Plan Ahead: there are no first come, first served campsites Reservations required. All campsites are reservation only, up to 14 days in advance. Campground is operated at a reduced capacity during the heat of summer (May 1- October 31) Reservations for Cottonwood Campground are made at: https://www.recreation.gov/camping/campgrounds/234078",,"-Cottonwood Campground is open November 1 through April 30.

-Plan ahead. Reservations are required for all sites and can be made up to 14 days in advance.
-No first-come, first-served camping. 
-During the extreme heat of the summer months (May 1 - October 31), the campground is closed."
Big Bend,bibe,Rio Grande Village Campground,"Set in a grove of cottonwoods and acacia trees, the Rio Grande Village Campground is located near the Rio Grande. Elevation: 1,850 feet. Paved roads connect each campsite, and grassy areas separate each site. Flush toilets, running water, picnic tables, grills, and some overhead shelters. Dump station nearby. Campers enjoy birdwatching, hiking, exploring. A camp store with showers and a park visitor center are nearby.",29.180194504,-102.955634488,93,"Please plan ahead. Reservations are required for this campground. There are no first come, first served campsites. This campground is open year-round, but only a limited number of campsites are available in the summer months due to the extreme heat (110+ degrees). May 1 - October 31, 2021: 17 campsites reservable 6 months in advance and 7 sites reservable up to 14 days in advance. November through April: 60 sites reservable up to 6 months in advance and 33 sites reservable up to 14 days in advance Reservations for Rio Grande Village Campground are made at: https://www.recreation.gov/camping/campgrounds/234035",,"Open year round.
Please Plan Ahead. Reservations Required.
Prime season is November 1 through April 30. Campground is open full capacity at that time.

Due to extreme heat of the summer months, the campground operates at reduced capacity (25 campsites) from May 1 through October 31."
