wiki_name,parkCode,yelp_url
Acadia,acad,https://www.yelp.com/biz/acadia-national-park-bar-harbor
American Samoa,npsa,https://www.yelp.com/biz/national-park-of-american-samoa-pago-pago
Arches,arch,https://www.yelp.com/biz/arches-national-park-moab
Badlands,badl,https://www.yelp.com/biz/badlands-national-park-interior
Big Bend,bibe,https://www.yelp.com/biz/big-bend-national-park-big-bend-national-park
Biscayne,bisc,https://www.yelp.com/biz/biscayne-national-park-homestead-5
Black Canyon of the Gunnison,blca,https://www.yelp.com/biz/black-canyon-of-the-gunnison-national-park-montrose-2
Bryce Canyon,brca,https://www.yelp.com/biz/bryce-canyon-national-park-bryce-2
Canyonlands,cany,https://www.yelp.com/biz/canyonlands-national-park-moab
Capitol Reef,care,https://www.yelp.com/biz/capitol-reef-national-park-fruita-2
Carlsbad Caverns,cave,https://www.yelp.com/biz/carlsbad-caverns-national-park-carlsbad-4
Channel Islands,chis,https://www.yelp.com/biz/channel-islands-national-park-ventura-3
Congaree,cong,https://www.yelp.com/biz/congaree-national-park-hopkins
Crater Lake,crla,https://www.yelp.com/biz/crater-lake-national-park-crater-lake
Cuyahoga Valley,cuva,https://www.yelp.com/biz/cuyahoga-valley-national-park-peninsula-2
Death Valley,deva,https://www.yelp.com/biz/death-valley-national-park-death-valley-3
Denali,dena,https://www.yelp.com/biz/denali-national-park-denali-park
Dry Tortugas,drto,https://www.yelp.com/biz/dry-tortugas-national-park-key-west
Everglades,ever,https://www.yelp.com/biz/everglades-national-park-homestead
Gates of the Arctic,gaar,https://www.yelp.com/biz/gates-of-the-arctic-national-park-bettles
Gateway Arch,jeff,https://www.yelp.com/biz/gateway-arch-national-park-saint-louis
Glacier,glba,https://www.yelp.com/biz/glacier-national-park-west-glacier
Glacier Bay,glba,https://www.yelp.com/biz/glacier-bay-national-park-and-preserve-glacier-bay
Grand Canyon,grca,https://m.yelp.com/biz/grand-canyon-national-park-grand-canyon
Grand Teton,grte,https://www.yelp.com/biz/grand-teton-national-park-moose-3
Great Basin,grba,https://www.yelp.com/biz/great-basin-national-park-baker
Great Sand Dunes,grsa,https://www.yelp.com/biz/great-sand-dunes-national-park-and-preserve-mosca-4
Great Smoky Mountains,grsm,https://www.yelp.com/biz/great-smoky-mountains-national-park-gatlinburg
Guadalupe Mountains,gumo,https://www.yelp.com/biz/guadalupe-mountains-national-park-salt-flat
Haleakalā,hale,https://www.yelp.com/biz/haleakala-national-park-makawao-2
Hawaiʻi Volcanoes,havo,https://www.yelp.com/biz/hawaii-volcanoes-national-park-volcano-2
Hot Springs,hosp,https://www.yelp.com/biz/hot-springs-national-park-hot-springs
Indiana Dunes,indu,https://www.yelp.com/biz/indiana-dunes-national-park-chesterton
Isle Royale,isro,https://www.yelp.com/biz/isle-royale-national-park-houghton
Joshua Tree,jotr,https://www.yelp.com/biz/joshua-tree-national-park-twentynine-palms
Katmai,katm,https://www.yelp.com/biz/katmai-national-park-king-salmon
Kenai Fjords,kefj,https://www.yelp.com/biz/kenai-fjords-national-park-seward-3
Kings Canyon,seki,https://www.yelp.com/biz/kings-canyon-national-park-three-rivers-2
Kobuk Valley,kova,https://www.yelp.com/biz/kobuk-valley-national-park-kotzebue
Lake Clark,lacl,https://www.yelp.com/biz/lake-clark-national-park-port-alsworth
Lassen Volcanic,lavo,https://www.yelp.com/biz/lassen-volcanic-national-park-mineral
Mammoth Cave,maca,https://www.yelp.com/biz/mammoth-cave-national-park-mammoth-cave
Mesa Verde,meve,https://www.yelp.com/biz/mesa-verde-national-park-mesa-verde
Mount Rainier,mora,https://www.yelp.com/biz/mount-rainier-national-park-ashford
New River Gorge,neri,https://www.yelp.com/biz/new-river-gorge-national-park-glen-jean
North Cascades,noca,https://www.yelp.com/biz/north-cascades-national-park-marblemount-2
Olympic,olym,https://www.yelp.com/biz/olympic-national-park-port-angeles
Petrified Forest,pefo,https://www.yelp.com/biz/petrified-forest-national-park-petrified-forest-6
Pinnacles,pinn,https://www.yelp.com/biz/pinnacles-national-park-paicines
Redwood,redw,https://www.yelp.com/biz/redwood-national-and-state-parks-orick
Rocky Mountain,romo,https://www.yelp.com/biz/rocky-mountain-national-park-estes-park-5
Saguaro,sagu,https://www.yelp.com/biz/saguaro-national-park-tucson
Sequoia,seki,https://www.yelp.com/biz/sequoia-and-kings-canyon-national-parks-three-rivers-3
Shenandoah,shen,https://www.yelp.com/biz/shenandoah-national-park-luray
Theodore Roosevelt,thrb,https://www.yelp.com/biz/theodore-roosevelt-national-park-medora-2
Virgin Islands,vicr,https://www.yelp.com/biz/virgin-islands-national-park-cruz-bay
Voyageurs,voya,https://www.yelp.com/biz/voyageurs-national-park-international-falls-2
White Sands,whsa,https://www.yelp.com/biz/white-sands-national-park-alamogordo
Wind Cave,wica,https://www.yelp.com/biz/wind-cave-national-park-hot-springs?start=20
Wrangell–St. Elias,wrst,https://www.yelp.com/biz/wrangell-st-elias-national-park-copper-center
Yellowstone,yell,https://www.yelp.com/biz/yellowstone-national-park-yellowstone-national-park-2
Yosemite,yose,https://www.yelp.com/biz/yosemite-national-park-yosemite-national-park-11
Zion,zion,https://www.yelp.com/biz/zion-national-park-springdale-7
