wiki_name,parkCode,title,shortDescription,location,url,duration,activity_tags
Acadia,acad,Explore Historic Carroll Homestead,"Head towards the west side of the island to visit an example of 1800s island life at Carroll Homestead, a time capsule of early Euro-american settlement before Mount Desert Island became a tourist destination and Acadia National Park came into being.",Carroll Homestead,https://www.nps.gov/thingstodo/explore-historic-carroll-homestead.htm,,Self-Guided Tours - Walking
Acadia,acad,Hike Compass Harbor Trail,Explore a historic site near Bar Harbor and enjoy a dramatic shoreline with views of Frenchman Bay and Ironbound Island.,Compass Harbor,https://www.nps.gov/thingstodo/hike-compass-harbor-trail.htm,30-45 Minutes,Hiking
Acadia,acad,Oldfarm Video Tour,"George B. Dorr worked tirelessly through the early 1900s to found what we know today as Acadia National Park. His former family estate, known as Oldfarm, is situated along the Compass Harbor Trail, less than a mile from downtown Bar Harbor on State Route 3. The short walk beneath forest canopies leads to foundation remnants of his former cottage, demolished in 1949, and ends at Dorr Point with views of Compass Harbor and the Porcupine Islands.",Compass Harbor Trail,https://www.nps.gov/thingstodo/acadia_oldfarm.htm,,Self-Guided Tours - Walking
Acadia,acad,Hike Pemetic Summit with Island Explorer Bus,"The hike up and over Pemetic takes hikers to the shores of both Bubble and Jordan Pond and summits Pemetic Mountain. Nearly 360-degree views look out over Cadillac, Sargent and Penobscot peaks, the Atlantic Ocean and the Cranberry Isles. Hiking this peak with use of the Island Explorer Bus offers hikers a bus-stop-only starting point for a strenuous hike with minimal mileage.",Bubble Pond to Jordan Pond via Pemetic Mountain,https://www.nps.gov/thingstodo/hike-pemetic-summit-with-island-explorer-bus.htm,2-4 Hours,Front-Country Hiking
Acadia,acad,Hike Double Bubble Nubble Loop with Island Explorer,"The trek to summit both Bubbles and Conners Nubble summits three peaks and accesses iconic park locations. Hikers will be treated to views of lakes and mountains while exploring woodlands. By hiking with the use of the Island Explorer Bus, these trails are accessible in a unique way and helps hikers overcome the crowds while exploring popular viewpoints.",Double Bubble Nubble Loop,https://www.nps.gov/thingstodo/hike-double-bubble-nubble-loop-with-island-explorer.htm,4-5 Hours,Front-Country Hiking
Acadia,acad,Hike Sargent and Penobscot Mountains from JPH with Island Explorer Bus,The trails up Sargent and Penobscot Mountains are located a short distance from the Jordan Pond House restaurant and gift shop.     , Sargent and Penobscot Mountains from JPH,https://www.nps.gov/thingstodo/hike-sargent-and-penobscot-mountains-from-jph-with-island-explorer-bus.htm,,Front-Country Hiking
Acadia,acad,Hike Jordan Pond Loop with Island Explorer Bus,"If looking for a way to relax, to take in some magnificent views, or to just burn some of the calories from the popovers consumed at the Jordan Pond house, the Jordan Pond Path is a great choice. Even just walking along the eastern shoreline is a certain way to enjoy some scenic vistas of one of Acadia’s iconic locations.  ",Jordan Pond Loop,https://www.nps.gov/thingstodo/hike-jordan-pond-loop-with-island-explorer-bus.htm,1-2 Hours,Front-Country Hiking
Acadia,acad,Hike Gorge/Cadillac Mountain North Ridge Loop with Island Explorer Bus,"This is a great option for hiking to the summit of Cadillac Mountain. It follows Kebo Brook which cuts deeply through the granite bedrock with views of steep canyons walls from the gorge below. The final portion of the path ascends a steep rock face and gives hikers vistas of Dorr Mountain, Frenchman Bay, the Atlantic Ocean, as well the deeply cut gorge itself. The summit of Cadillac Mountain provides a 360-degree view out over Mount Desert Island.",The Gorge Path and the Cadillac North Ridge Trail,https://www.nps.gov/thingstodo/hike-gorge-cadillac-mountain-north-ridge-loop-with-island-explorer-bus.htm,2-4 Hours,Front-Country Hiking
Acadia,acad,Hike Sieur de Monts to Jesup Path with Island Explorer Bus,The trails from Sieur de Monts to Jesup Path are located adjacent to the Nature Center and the Wild Gardens of Acadia in a wooded area.  ,Sieur de Monts to Jesup Path and Hemlock Road Loop,https://www.nps.gov/thingstodo/hike-sieur-de-monts-to-jesup-path-with-island-explorer-bus.htm,1-2 Hours,Front-Country Hiking
Acadia,acad,Hike Sieur de Monts to Sand Beach Trek with Island Explorer,"The trek from Sieur de Monts to Sand Beach connects four trails and summits Champlain Mountain. Hikers will be treated to views of lakes, mountains and ocean while exploring woodlands, ponds and bare summits. By hiking with the use of the Island Explorer Bus, these trails are transformed from out-and-back hikes to a scenic trek across Acadia National Park.",Sieur de Monts to Sand Beach,https://www.nps.gov/thingstodo/hike-sieur-de-monts-to-sand-beach-trek-with-island-explorer.htm,2-4 Hours,Front-Country Hiking
Acadia,acad,Hike Great Head with Island Explorer Bus,Great Head Trial provides visitors a chance to hike a shorter trail and get amazing views of the ocean and forest in the same hike. Enjoy the views while relaxing on the beach afterward.,Great Head Trail,https://www.nps.gov/thingstodo/hike-great-head-with-island-explorer-bus.htm,1-2 Hours,Front-Country Hiking
Acadia,acad,Hike Ocean Path Trail with Island Explorer Bus,"Ocean Path follows atop Acadia’s granite cliffs along the Atlantic Ocean. While exploring the Ocean Path, visitors can enjoy scenic vistas and iconic park locations including Sand beach, Thunder Hole and Otter Cliffs. Combining this hike with Acadia’s Island Explorer bus gives hikers flexibility in trail distance on what would otherwise be an out-and-back hike.",The Ocean Path Trail,https://www.nps.gov/thingstodo/hike-ocean-path-trail-with-island-explorer-bus.htm,1-2 Hours,Front-Country Hiking
Acadia,acad,Hike Beech Cliff Trail with Island Explorer Bus,The Beech Cliff Trail climbs a steep rock face from the southern end of Echo Lake to the top of the cliffs. Continue north along the short and fun Beech Cliff Loop to be treated to even more views from the top of the cliffs. The descent is more gradual and goes down a forested area via the Canada Cliffs Trail back to the beginning of the hike.,"Beech Cliff Trail, Beech Cliff Loop, and Canada Cliffs Trail",https://www.nps.gov/thingstodo/hike-beech-cliff-trail-with-island-explorer-bus.htm,2-4 Hours,Front-Country Hiking
Acadia,acad,Hike the Acadia Mountain Loop with Island Explorer Bus,"Acadia Mountain Trail follows up the east and west side of the mountain with views of the surrounding mountains and bodies of water. With the Island Explorer bus, visitors won't need to park along the road and can ride to the trailhead stress-free.",Acadia Mountain Loop,https://www.nps.gov/thingstodo/hike-the-acadia-mountain-loop-with-island-explorer-bus.htm,2-3 Hours,Front-Country Hiking
Acadia,acad,Hike Village Green to Sieur de Monts with Island Explorer Bus,"Beginning at the Village Green in Bar Harbor and ending at the Sieur de Mont Area this hike includes the Great Meadow Loop, the Hemlock Road Trail, and the Jesup Path. With virtually no elevation gain it traverses a Bar Harbor neighborhood, crosses the Great Meadow, and finishes with a boardwalk at the Nature Center.",Hike Village Green to Sieur de Monts with Island Explorer Bus,https://www.nps.gov/thingstodo/hike-village-green-to-sieur-de-monts-with-island-explorer-bus.htm,1-1 Hours,Front-Country Hiking
Acadia,acad,Hike Jesup Path and Hemlock Path Loop,This forested path continues to a boardwalk with multiple interpretive signs and benches. It opens up to a meadow before looping back on an old fire road. Views of Dorr Mountain are interspersed in this walk along a birch and hemlock forest.,Sieur de Monts Nature Center,https://www.nps.gov/thingstodo/hike-jesup-path-hemlock-path-loop.htm,30-60 Minutes,Hiking
Acadia,acad,Swim Echo Lake Beach,"Echo Lake Beach is a popular, freshwater swimming area on the southern end of Echo Lake. It is accessible off Route 102 in Southwest Harbor.",Echo Lake Beach,https://www.nps.gov/thingstodo/swim-echo-lake-beach.htm,,Swimming
Acadia,acad,Stargazing on Cadillac Mountain (Vehicle Access Limited),Gaze in awe at Acadia's night sky from the highest mountain summit in the park.,Cadillac Mountain,https://www.nps.gov/thingstodo/stargazing-cadillac.htm,,Stargazing
Acadia,acad,Tidepooling at Wonderland,Explore rocky tidepools at the far end of this coastal forest trail on the west side of Mount Desert Island.,Wonderland Trail,https://www.nps.gov/thingstodo/tidepooling-wonderland.htm,,Wildlife Watching
Acadia,acad,Hike Precipice Loop,"Rising over 1,000 feet in 0.9 miles, the Precipice Trail requires physical and mental strength. It is a rugged, non-technical climb with open cliff faces and iron rungs, and reaches the summit of Champlain Mountain.",Precipice Trailhead,https://www.nps.gov/thingstodo/hike-precipice-loop.htm,2-3 Hours,Hiking
Acadia,acad,Drive Cadillac Mountain,"Cadillac Mountain is a popular destination for visitors to Acadia National Park. Accessible by car, it is the highest point on the eastern seaboard of the U.S., and offers magnificent views of a glaciated coastal and island landscape. The short, paved Cadillac Summit Loop Trail, interpretive waysides, restrooms, and gift shop are located at the summit.",Cadillac Summit Road,https://www.nps.gov/thingstodo/drive-cadillac-mountain.htm,2 Hours,Scenic Driving
Acadia,acad,Go Earthcaching At Acadia,"Embark on an exciting journey through time to discover how glaciers have shaped Acadia National Park. Using your GPS unit and a set of clues obtained from this website and hidden along the journey, you can guide yourself to a series of sites in the park.",,https://www.nps.gov/thingstodo/acadia-earthcache.htm,,Geocaching
Acadia,acad,Bike Carriage Roads,"Winding through the heart of the park, the 45 miles of historic carriage roads have crushed rock surfaces perfect for miles of bicycling.",Carriage Roads (throughout Acadia National Park),https://www.nps.gov/thingstodo/bike-carriage-roads.htm,,Biking
Acadia,acad,Drive Park Loop Road,"Wind your way through forests, past lakes and mountains, and along the shoreline on scenic Park Loop Road. The 27-mile (43 km) road also provides access to popular areas such as Sieur de Monts, Sand Beach, Otter Point, Jordan Pond, and Cadillac Mountain.",Paradise Hill Road Intersection,https://www.nps.gov/thingstodo/drive-park-loop-road.htm,1-4 Hours,Scenic Driving
