wiki_name,parkCode,name,lat,lon,description,directionsInfo,directionsUrl,url,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Acadia,acad,Hulls Cove Visitor Center,44.40854189883305,-68.24613669953163,"Located close to Bar Harbor off Route 3, the Hulls Cove Visitor Center is Acadia’s main visitor contact station and transportation hub from May into October. It is a popular, and often crowded, first stop for many visitors. It is adjacent to an entrance for the park's iconic 27-mile Park Loop Road and it serves as a key stop for several routes on the fare-free Island Explorer bus system. From a large parking lot, visitors must climb 52 steps to the main entrance. There is a separate accessible entrance.",Located off ME 3 in Hulls Cove (just north of Bar Harbor) Hulls Cove Visitor Center is at the top of the hill above the large parking lots. An accessible entrance is also available.,http://www.nps.gov/acad/planyourvisit/directions.htm,https://www.nps.gov/acad/planyourvisit/hours.htm,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM,8:30AM - 4:30PM
Acadia,acad,Islesford Historical Museum,44.26159227849917,-68.23981761932373,The Islesford Historical Museum is expected to reopen in 2021 showcasing both the upgrades and a community-curated exhibit helping to tell the stories of the Cranberry Isles.,"Accessible only by boat, Islesford Historical Museum is located to the left of the Town Pier in Islesford.",http://www.nps.gov/acad/planyourvisit/directions.htm,http://www.nps.gov/acad/planyourvisit/hours.htm,10:30AM - 4:00PM,10:30AM - 4:00PM,10:30AM - 4:00PM,10:30AM - 4:00PM,10:30AM - 4:00PM,10:30AM - 4:00PM,10:30AM - 4:00PM
Acadia,acad,Schoodic Institute Welcome Center at Rockefeller Hall,44.3360756984,-68.0591393988,The Schoodic Institute Welcome Center at Rockefeller Hall is located on Schoodic Peninsula off the one-way loop road. Exhibits about the old Navy base and park information can be found here.,"Rockefeller Welcome Center is located in the Schoodic District of Acadia. Follow ME 186 into Winter Harbor, and follow signs for the Schoodic Education and Research Center. Take Schoodic Loop Road to Arey Cove Drive, and take your first right onto Acadia Drive. Take your second left onto Atterbury Circle to park in the small parking lot.",http://www.nps.gov/acad/planyourvisit/directions.htm,http://www.nps.gov/acad/planyourvisit/hours.htm,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM
Acadia,acad,Schoodic Woods Campground Ranger Station,44.38028392493676,-68.06638510448852,"Information, Camping, Island Explorer buses, and park passes.","Located on the Schoodic Peninsula, this campground is 3 miles (5 km) southeast of Winter Harbor. Access to the campground is from Schoodic Loop Drive off ME 186.",http://www.nps.gov/acad/planyourvisit/camping.htm,https://www.nps.gov/acad/planyourvisit/camping.htm,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM,8:00AM - 3:00PM
Acadia,acad,Sieur de Monts Nature Center,44.36210912130982,-68.20784837007523,"Sieur de Monts Nature Center has visitor services, hiking information, and interactive exhibits. It acts as a trailhead for many hiking trails starting in the Sieur de Monts area. Park rangers are present during the spring, summer, and fall months.",Sieur de Monts Nature Center can be accessed from Park Loop Road as well as ME 3 (Main Street) south of Bar Harbor. Follow park signs.,http://www.nps.gov/acad/planyourvisit/directions.htm,http://www.nps.gov/acad/planyourvisit/hours.htm,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM
Acadia,acad,Winter Information: Bar Harbor Chamber of Commerce,44.389749,-68.204773,"During winter and spring, information and sales of some passes are available at the Bar Harbor Chamber of Commerce, 2 Cottage Street, at the corner of Cottage and Main streets (GPS coordinates = 44.398633, -68.204933). Hours are 8 am to 4 pm weekdays. There will be early closure at 3 pm the day before Thanksgiving Nov 22 and noon on Dec. 31, and full-day holiday closures on Nov 23, Dec 24, Dec 25, Dec 26, and Jan 1.","2 Cottage Street, at the corner of Cottage and Main streets (GPS coordinates = 44.398633, -68.204933).",,https://www.nps.gov/acad/planyourvisit/winter.htm,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM
American Samoa,npsa,Visitor Center and Park Store,-14.2744135115,-170.696946766,"Open on weekdays from 8:00 am to 3:00 pm. Closed on weekends and federal holidays. Located in Pago Pago village, across from the Pago Way Service Station.",,,,,,,,,,
Arches,arch,Arches Visitor Center,38.61656773313003,-109.62004230217951,The visitor center is generally open every day except December 25. Hours vary by season. You can learn about the park from exhibits and a bookstore. Rangers are on duty to answer your questions. Restrooms and drinking water are available.,"The Arches Visitor Center is located just inside the entrance gate to Arches National Park. From Moab, Utah, drive 5 miles north on US 191. From I-70 (Crescent Junction), drive 28 miles south on US 191. Follow signs to Arches National Park.",http://www.nps.gov/arch/planyourvisit/directions.htm,https://www.nps.gov/arch/planyourvisit/visitorcenters.htm,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM
Badlands,badl,Ben Reifel Visitor Center,43.74908,-101.94166100000001,"Located at park headquarters, the Ben Reifel Visitor Center features exhibits, an air conditioned theater,and restroom facilities.",The visitor center is located several miles south of exit 131 off of Interstate I-90. It is also accessible via Highway 44 through the town of Interior.,,https://www.nps.gov/thingstodo/visit-ben-reifel.htm,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM
Badlands,badl,White River Visitor Center,43.511612,-102.49656099999999,"The visitor center is located on the Pine Ridge Reservation and offers a staffed information desk, exhibits, restrooms, picnic tables, and water. Impromptu talks are available by request. This visitor center is only open during the summer season.","The visitor center is located on Pine Ridge Indian Reservation. It lies at the intersection of BIA 2 and BIA 27. It is approximately 30 miles south of Scenic, SD, and 60 miles east of Hermosa via Highway 40.",,https://www.nps.gov/thingstodo/white-river-vc.htm,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM,9:00AM - 4:00PM
Big Bend,bibe,Castolon Visitor Center,29.134282140186286,-103.51492166519165,"Located in the Castolon Historic District, the Castolon Visitor Center is open daily during the winter months. River use permits are issued during normal business hours, and entrance fees can be paid at the Castolon Visitor Center. The Castolon Visitor Center has a Big Bend Natural History Association bookstore and nearby restrooms. The visitor center is located in the historic Garlick House, immediately behind the Magdalena House Exhibits. Stop by to meet a ranger and plan your adventure.","The Castolon Visitor Center is located within the Castolon Historic District of Big Bend National Park. The site is located along the Ross Maxwell Scenic Drive, approximately 8 miles from the Santa Elena Canyon trailhead. The visitor center is inside the historic officer's quarters building.",,https://www.nps.gov/bibe/planyourvisit/big-bend-visitor-centers.htm,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM
